Código,Fecha Depósito,Nombre entidad que deposita,Texto depositado,Pólizas/Cláusulas,Temas,Res. Autoriza,Res. Prohibición
CAD120240077,30/04/2024,CHUBB SEGUROS CHILE S.A.,CLÁUSULA DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR ERUPCIÓN VOLCÁNICA ,"POL120210233
","- Incendio
", - , - 
POL120240076,29/04/2024,ASEGURADORA PORVENIR S.A.,POLIZA DE RESPONSABILIDAD CIVIL PROFESIONAL PARA ENTIDADES FINANCIERAS (NORMA DE CARÁCTER GENERAL 502),,"- Responsabilidad Civil
", - , - 
POL320240075,25/04/2024,COMPAÑIA DE SEGUROS DE VIDA CAMARA S.A.,SEGURO DE SALUD ONCOLÓGICO,,"- Salud
", - , - 
POL320240074,25/04/2024,COMPAÑIA DE SEGUROS DE VIDA CAMARA S.A.,SEGURO COLECTIVO DE GASTOS MÉDICOS PARA TRATAMIENTO ONCOLÓGICO,,"- Salud
", - , - 
POL120240073,25/04/2024,COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.A.,PÓLIZA DE SEGURO DE ASISTENCIA DE VIAJE,,"- Asistencia Generales
", - , - 
POL120240072,22/04/2024,CHUBB SEGUROS CHILE S.A.,PÓLIZA DE GARANTÍA A FAVOR DE  SERVICIO NACIONAL DE ADUANAS,,"- Garantías y Fidelidad
", - , - 
POL120240071,22/04/2024,CHUBB SEGUROS CHILE S.A.,PÓLIZA DE GARANTÍA A PRIMER REQUERIMIENTO Y A LA VISTA,,"- Garantías y Fidelidad
", - , - 
POL120240070,22/04/2024,CHUBB SEGUROS CHILE S.A.,PÓLIZA DE GARANTÍA A PRIMER REQUERIMIENTO,,"- Garantías y Fidelidad
", - , - 
POL120240069,22/04/2024,CHUBB SEGUROS CHILE S.A.,"PÓLIZA DE SEGURO DE GARANTÍA PARA LICITACIONES, PROPUESTAS O
SUBASTAS PÚBLICAS O PRIVADAS, DE CARÁCTER IRREVOCABLE Y DE EJECUCIÓN INMEDIATA
",,"- Garantías y Fidelidad
", - , - 
POL120240068,19/04/2024,HDI SEGUROS S.A.,POLIZA DE FIDELIDAD FUNCIONARIA PARA EMPLEADOS PARTICULARES,,"- Garantías y Fidelidad
", - , - 
CAD220240067,15/04/2024,ZURICH CHILE SEGUROS DE VIDA S.A.,CLAUSULA ADICIONAL DE BENEFICIO DIARIO POR HOSPITALIZACION POR ENFERMEDAD Y/O ACCIDENTE,"POL220240066
","- Desgravamen
", - , - 
POL220240066,15/04/2024,ZURICH CHILE SEGUROS DE VIDA S.A.,Seguro Colectivo de Desgravamen,"CAD220240067
","- Desgravamen
", - , - 
POL320240065,12/04/2024,BCI SEGUROS VIDA S.A.,POLIZA DE SEGURO ONCOLOGICO INDEMNIZATORIO,,"- Salud
", - , - 
POL320240064,10/04/2024,ZURICH SANTANDER SEGUROS DE VIDA CHILE S.A.,SEGURO DE REEMBOLSO DE GASTOS MÉDICOS PARA TRATAMIENTO ONCOLÓGICO,,"- Salud
", - , - 
POL320240063,10/04/2024,ZURICH SANTANDER SEGUROS DE VIDA CHILE S.A.,SEGURO DE REEMBOLSO DE GASTOS MÉDICOS PARA TRATAMIENTO ONCOLÓGICO,,"- Salud
", - , - 
POL320240062,10/04/2024,ZURICH SANTANDER SEGUROS DE VIDA CHILE S.A.,"SEGURO DE REEMBOLSO DE GASTOS MÉDICOS PARA TRATAMIENTO 

ONCOLÓGICO
",,"- Salud
", - , - 
POL120240061,09/04/2024,COMPAÑIA DE SEGUROS DE CREDITO CONTINENTAL S.A.,"
POLIZA DE SEGURO DE GARANTIA A PRIMER REQUERIMIENTO PARA ADMINISTRADORAS DE FONDOS
",,"- Garantías y Fidelidad
", - , - 
